SORTEREN;Wegbeheerder;Name (verplicht) - max 63 karakters;DescriptiveName (optioneel) - max 63 karakters;Alias (optioneel) - max 255 karakters;Latitude;Longitude;TLC/Inters.;RoadRegulatorID;IntersectionID;TlcIdentifier;UniqueID;Volg-Id;(wordt) iVRI;VRA ID;TLC;ITS applicatie;RIS;UC3;UC4;UC5.1;UC5.2;;
3101100100;Almere;ALM-2009-TLC;Spoordreef - Koopmanstraat - Meesterstraat;;52,3721690;5,2161330;TLC;31011;;79230064;A9072E3F-4958-47C0-9E11-3F3D0B8F531B;100;Ja;VT451546;Vialis;Vialis;Vialis;Ja;Ja;Ja;Ja;;
3101100101;Almere;ALM-2009-1;Spoordreef - Koopmanstraat;;52,3721690;5,2161330;Intersection;31011;101;;;101;;;;;;;;;;;
3101100102;Almere;ALM-2009-2;Spoordreef - Meesterstraat;;52,3717320;5,2157060;Intersection;31011;102;;;102;;;;;;;;;;;
3101100110;Almere;ALM-2010-TLC;Spoordreef/Schoutstraat;;52,3738820;5,2159680;TLC;31011;;7923006E;C981752A-E2DA-44FC-A68C-816E49C16707;110;Ja;VT451550;Vialis;Vialis;Vialis;Ja;Ja;Ja;Ja;;
3101100111;Almere;ALM-2010;Spoordreef/Schoutstraat;;52,3738820;5,2159680;Intersection;31011;111;;;111;;;;;;;;;;;
3101100120;Almere;ALM-2011-TLC;Waddendreef/Spoordreef;;52,3752190;5,2150550;TLC;31011;;79230078;53BB32A3-D5A6-4753-B010-2CC580B92A70;120;Ja;VT451548;Vialis;Vialis;Vialis;Ja;Ja;Ja;Ja;;
3101100121;Almere;ALM-2011;Waddendreef/Spoordreef;;52,3752190;5,2150550;Intersection;31011;121;;;121;;;;;;;;;;;
3101100130;Almere;ALM-2014-TLC;Waddendreef/Dokkumlaan;;52,3742520;5,2091990;TLC;31011;;79230082;135FD166-A4AC-4100-8A5C-D19FB54E7F0D;130;Ja;VT450784;Vialis;Vialis;Vialis;Ja;Ja;Ja;Ja;;
3101100131;Almere;ALM-2014;Waddendreef/Dokkumlaan;;52,3742520;5,2091990;Intersection;31011;131;;;131;;;;;;;;;;;
3101100140;Almere;ALM-2015-TLC;Waddendreef/Stedendreef;;52,3728580;5,2013580;TLC;31011;;7923008C;20E640D0-1963-4E52-9F9F-46B07227DEC8;140;Ja;VT451040;Vialis;Vialis;Vialis;Ja;Ja;Ja;Ja;;
3101100141;Almere;ALM-2015;Waddendreef/Stedendreef;;52,3728580;5,2013580;Intersection;31011;141;;;141;;;;;;;;;;;
3101100150;Almere;ALM-2020-TLC;Stedendreef/Havendreef;;52,3608530;5,1939870;TLC;31011;;79230096;98CFF74C-C217-4C54-92F7-EFDAAA4FD9E9;150;Ja;VT451045;Vialis;Vialis;Vialis;Ja;Ja;Ja;Ja;;
3101100151;Almere;ALM-2020;Stedendreef/Havendreef;;52,3608530;5,1939870;Intersection;31011;151;;;151;;;;;;;;;;;
3101100160;Almere;ALM-2042-TLC;Landdrostdreef/Rooseveltweg/Station;;52,3759200;5,2204950;TLC;31011;;792300A0;DE68520D-22D0-4EFF-9C6A-FBA35AB2D4A8;160;Ja;VT451571;Vialis;Vialis;Vialis;Ja;Ja;Ja;Ja;;
3101100161;Almere;ALM-2042-1;Landdrostdreef - Station;;52,3759110;5,2205260;Intersection;31011;161;;;161;;;;;;;;;;;
3101100161;Almere;ALM-2042-2;Landdrostdreef/Rooseveltweg;;52,3759200;5,2204950;Intersection;31011;161;;;161;;;;;;;;;;;
3101100170;Almere;KOBI322;Busbaan Seizoenenbuurt ;;52,4042660;5,2849620;TLC;31011;;792300AA;D881B308-8995-40D4-B95D-0BC4AFE43CA4;170;Ja;VT451549;Vialis;Vialis;Vialis;Ja;Ja;Nee;Ja;;
3101100171;Almere;OBI322;Busbaan Seizoenenbuurt ;;52,4042660;5,2849620;Intersection;31011;171;;;171;;;;;;;;;;;
3101100180;Almere;KOBI422;Busbaan Tussen de Vaarten ;;52,3837320;5,2532410;TLC;31011;;792300B4;D2CDECC8-421F-4D89-9A2E-8E230CA683DE;180;Ja;VT451551;Vialis;Vialis;Vialis;Ja;Ja;Nee;Ja;;
3101100181;Almere;OBI422;Busbaan Tussen de Vaarten ;;52,3837320;5,2532410;Intersection;31011;181;;;181;;;;;;;;;;;
3101100190;Almere;ALM-3020-TLC;Grote Vaartweg - Draaibrugweg - Bolderweg;;52,4045210;5,2565580;TLC;31011;;792300BE;792A3F27-803F-43C0-9471-06BD49BCEAE7;190;Ja;VT451058;Vialis;Vialis;Vialis;Ja;Ja;Ja;Ja;;
3101100191;Almere;ALM-3020-1;Grote Vaartweg - Draaibrugweg;;52,4043220;5,2567900;Intersection;31011;191;;;191;;;;;;;;;;;
3101100191;Almere;ALM-3020-2;GroteVaartweg/Bolderweg;;52,4045210;5,2565580;Intersection;31011;191;;;191;;;;;;;;;;;
3101100200;Almere;ALM-4001-TLC;Elementendreef/Olympialaan;;52,3386990;5,1568610;TLC;31011;;792300C8;9F86277B-A0A2-402C-BD6D-334666072FB1;200;Ja;VT450567;Vialis;Vialis;Vialis;Ja;Ja;Ja;Ja;;
3101100201;Almere;ALM-4001;Elementendreef/Olympialaan;;52,3386990;5,1568610;Intersection;31011;201;;;201;;;;;;;;;;;
3101100210;Almere;ALM-4002-TLC;Elementendreef/P de Coubertinstraat;;52,3411510;5,1616240;TLC;31011;;792300D2;B895E2C3-4C7C-4A01-A455-10D93322CE8E;210;Ja;VT450523;Vialis;Vialis;Vialis;Ja;Ja;Ja;Ja;;
3101100211;Almere;ALM-4002;Elementendreef/P de Coubertinstraat;;52,3411510;5,1616240;Intersection;31011;211;;;211;;;;;;;;;;;
3101100220;Almere;ALM-4003-TLC;Elementendreef/Europalaan;;52,3426860;5,1648350;TLC;31011;;792300DC;8B7AE5A8-08B2-4B26-9981-93A52CDEF801;220;Ja;VT451681;Vialis;Vialis;Vialis;Ja;Ja;Ja;Ja;;
3101100221;Almere;ALM-4003;Elementendreef/Europalaan;;52,3426860;5,1648350;Intersection;31011;221;;;221;;;;;;;;;;;
3101100230;Almere;ALM-4005-TLC;Elementendreef/Heliumweg;;52,3472930;5,1684040;TLC;31011;;792300E6;8F47E098-F9E0-4F65-B788-FD2992EFD869;230;Ja;VT451682;Vialis;Vialis;Vialis;Ja;Ja;Ja;Ja;;
3101100231;Almere;ALM-4005;Elementendreef/Heliumweg;;52,3472930;5,1684040;Intersection;31011;231;;;231;;;;;;;;;;;
3101100240;Almere;ALM-4009-TLC;Poortdreef/Europalaan;;52,3453410;5,1435530;TLC;31011;;792300F0;C3529697-A434-4679-B272-3C5CF117C082;240;Ja;VT451650;Vialis;Vialis;Vialis;Ja;Ja;Ja;Ja;;
3101100241;Almere;ALM-4009;Poortdreef/Europalaan;;52,3453410;5,1435530;Intersection;31011;241;;;241;;;;;;;;;;;
3101100250;Almere;ALM-4010-TLC;Poortdreef/Demtrius Vikelalaan;;52,3431820;5,1454530;TLC;31011;;792300FA;6879E982-4FCA-4E1D-9841-DBB6D7924071;250;Ja;VT451649;Vialis;Vialis;Vialis;Ja;Ja;Ja;Ja;;
3101100251;Almere;ALM-4010;Poortdreef/Demtrius Vikelalaan;;52,3431820;5,1454530;Intersection;31011;251;;;251;;;;;;;;;;;
3101100260;Almere;ALM-4011-TLC;Poortdreef/Olympialaan;;52,3391940;5,1489190;TLC;31011;;79230104;C4DA6108-48D5-422A-A2F6-078561BF6EAB;260;Ja;VT450568;Vialis;Vialis;Vialis;Ja;Ja;Ja;Ja;;
3101100261;Almere;ALM-4011;Poortdreef/Olympialaan;;52,3391940;5,1489190;Intersection;31011;261;;;261;;;;;;;;;;;
3101100270;Almere;ALM-4012-TLC;Poortdreef/Muiderzandweg;;52,3365590;5,1493620;TLC;31011;;7923010E;78B5A53E-E1D1-4455-B365-0BB5B1F75898;270;Ja;;Vialis;Vialis;Vialis;Ja;Ja;Ja;Ja;;
3101100271;Almere;ALM-4012;Poortdreef/Muiderzandweg;;52,3365590;5,1493620;Intersection;31011;271;;;271;;;;;;;;;;;
3101100280;Almere;ALM-4013-TLC;Poortdreef/Elementendreef;;52,3341940;5,1507030;TLC;31011;;79230118;495FCCB6-28EA-45BD-8AAA-96F23F9F8820;280;Ja;VT451503;Vialis;Vialis;Vialis;Ja;Ja;Ja;Ja;;
3101100281;Almere;ALM-4013;Poortdreef/Elementendreef;;52,3341940;5,1507030;Intersection;31011;281;;;281;;;;;;;;;;;
3101100290;Almere;ALM-2016-TLC;Stedendreef/Amsterdamweg;;52,3689610;5,2043540;TLC;31011;;79230122;0F1C310E-D4A1-4FAA-A75D-FBD6584C64E6;290;Ja;VT451041;Vialis;Vialis;Vialis;Ja;Ja;Ja;Ja;;
3101100291;Almere;ALM-2016;Stedendreef/Amsterdamweg;;52,3689610;5,2043540;Intersection;31011;291;;;291;;;;;;;;;;;
3101100300;Almere;ALM-2017-TLC;Stedendreef/Amersfoortweg;;52,3658180;5,2030540;TLC;31011;;7923012C;D5383FC7-9CD6-4C18-BA06-08C7D38959BE;300;Ja;VT451042;Vialis;Vialis;Vialis;Ja;Ja;Ja;Ja;;
3101100301;Almere;ALM-2017;Stedendreef/Amersfoortweg;;52,3658180;5,2030540;Intersection;31011;301;;;301;;;;;;;;;;;
3101100310;Almere;ALM-2018-TLC;Stedendreef/Rotterdamweg;;52,3635220;5,2014110;TLC;31011;;79230136;4756A5B7-EB57-4D95-A16C-B4003B6A34ED;310;Ja;VT451043;Vialis;Vialis;Vialis;Ja;Ja;Ja;Ja;;
3101100311;Almere;ALM-2018;Stedendreef/Rotterdamweg;;52,3635220;5,2014110;Intersection;31011;311;;;311;;;;;;;;;;;
3101100320;Almere;ALM-2019-TLC;Stedendreef/Middelburgweg;;52,3622020;5,1979380;TLC;31011;;79230140;2A145577-8354-4412-9236-3EA03D5FC238;320;Ja;VT451044;Vialis;Vialis;Vialis;Ja;Ja;Ja;Ja;;
3101100321;Almere;ALM-2019;Stedendreef/Middelburgweg;;52,3622020;5,1979380;Intersection;31011;321;;;321;;;;;;;;;;;
3101100330;Almere;ALM-2041-TLC;Cinemadreef/Odeonstraat/Oscarlaan;;52,3728950;5,2268730;TLC;31011;;7923014A;05EC82EB-1AD2-4ADB-82CF-EF126D2B5F76;330;Ja;VT450785;Vialis;Vialis;Vialis;Ja;Ja;Ja;Ja;;
3101100331;Almere;ALM-2041;Cinemadreef/Odeonstraat/Oscarlaan;;52,3728950;5,2268730;Intersection;31011;331;;;331;;;;;;;;;;;
3101100340;Almere;ALM-2029-TLC;Cinemadreef/Charlie Chaplinweg;;52,3734010;5,2299580;TLC;31011;;79230154;FB4421A7-E430-4C16-B5C2-41931BE2F44D;340;Ja;VT451368;Vialis;Vialis;Vialis;Ja;Ja;Ja;Ja;;
3101100341;Almere;ALM-2029;Cinemadreef/Charlie Chaplinweg;;52,3734010;5,2299580;Intersection;31011;341;;;341;;;;;;;;;;;
3101100350;Almere;ALM-2030-TLC;Cinemadreef/Hollywoodlaan;;52,3738560;5,2331180;TLC;31011;;7923015E;D4EB9CF7-C5F8-4786-8056-34FFEE9CD33A;350;Ja;VT451369;Vialis;Vialis;Vialis;Ja;Ja;Ja;Ja;;
3101100351;Almere;ALM-2030;Cinemadreef/Hollywoodlaan;;52,3738560;5,2331180;Intersection;31011;351;;;351;;;;;;;;;;;
3101100360;Almere;KOBI0042;Busbaan - Venraystraat;;52,3603579;5,2059640;TLC;31011;;79230168;6BD9D88C-F2D8-4FFC-9DE3-EF24570D5533;360;;FR901361;Vialis;;;;;;;;
3101100361;Almere;OBI041;Busbaan - Rotterdamweg;;52,3614400;5,2057860;Intersection;31011;361;;;361;;;;;;;;;;;
3101100362;Almere;OBI042;Busbaan - Tegelenpad;;52,3598120;5,2063390;Intersection;31011;362;;;362;;;;;;;;;;;
3101100363;Almere;OBI043;Busbaan - Deurnestraat;;52,3582790;5,2077060;Intersection;31011;363;;;363;;;;;;;;;;;
3101100370;Almere;KOBI0046;Busbaan - Zevenaarstraat;;52,3647497;5,2077107;TLC;31011;;79230172;97B020D2-C659-47B8-9C31-D579279B9597;370;;FR900469;Vialis;;;;;;;;
3101100371;Almere;OBI107;Busbaan - Baarnstraat;;52,3659630;5,2051630;Intersection;31011;371;;;371;;;;;;;;;;;
3101100372;Almere;OBI108;Busbaan - Alkmaargracht;;52,3657220;5,2062780;Intersection;31011;372;;;372;;;;;;;;;;;
3101100373;Almere;OBI109;Busbaan - Naardenstraat;;52,3655560;5,2070920;Intersection;31011;373;;;373;;;;;;;;;;;
3101100374;Almere;OBI044;Busbaan - Barneveldpad;;52,3629690;5,2066530;Intersection;31011;374;;;374;;;;;;;;;;;
3101100375;Almere;OBI045;Busbaan - Nijmegenweg;;52,3646060;5,2075480;Intersection;31011;375;;;375;;;;;;;;;;;
3101100376;Almere;OBI047;Busbaan - Raaltepad;;52,3659200;5,2093530;Intersection;31011;376;;;376;;;;;;;;;;;
3101100377;Almere;OBI048;Busbaan - Zwolleweg;;52,3674790;5,2102330;Intersection;31011;377;;;377;;;;;;;;;;;
3101100380;Almere;KOBI0050;Busbaan - Kampenweg;;52,3697556;5,2151845;TLC;31011;;7923017C;4222250F-826D-4ADA-B498-B56504DB124B;380;;VT451130;Vialis;;;;;;;;
